# Graph from ../images/ruz_et_al_2019_fig_1.png, page unknown
7.249	0.8301
7.250	0.9429
7.267	1.041
7.982	2.848
7.983	3.189
8.001	2.616
8.770	15.15
8.770	15.58
8.791	16.49
9.610	45.12
9.610	48.43
9.633	46.42
10.57	99.82
10.60	91.69
10.60	95.67
11.61	107.2
11.64	110.3
11.67	115.1
12.78	72.26
12.81	74.34
12.81	76.48
14.03	55.29
14.06	57.69
14.06	59.35
15.40	30.12
15.44	30.98
15.44	32.79
16.87	18.11
16.91	16.40
16.91	17.12
18.61	7.870
18.61	8.328
18.61	8.939
20.42	2.267
20.42	2.503
20.42	2.764
22.41	0.5358
22.41	0.6261
22.46	0.4651
24.59	0.1302
24.65	0.07500
24.65	0.1024
27.12	0.01582
27.12	0.02454
27.18	0.01049
